word,count
原來,7
浪費,7
擁擠,7
成,7
mind,7
清楚,7
成就,7
拿,7
意義,7
靠,7
right,7
一再,7
黑夜,7
傻,7
再次,7
無助,7
何時,7
聽見,7
堅定,7
安慰,7
模樣,7
送,7
停下來,7
time,7
喔,7
起,7
真,7
無論,7
可愛,7
星星,7
怎能,7
知影,7
幾十,7
I'll,7
原因,7
蠢蛋,7
you're,7
能否,6
場,6
能不能,6
穿越,6
千,6
相依,6
願意,6
平行,6
緊緊,6
來到,6
句號,6
聽到,6
見面,6
失望,6
空白,6
遍,6
早,6
低,6
並,6
覺得,6
既然,6
Please,6
try,6
位,6
Baby,6
煙火,6
旋律,6
傷痕,6
放手,6
徘徊,6
幸運,6
根,6
盡頭,6
每當,6
輪廓,6
距離,6
擋,6
半,6
低頭,6
視線,6
關係,6
望,6
穿,6
紅,6
一點點,6
白,6
單純,6
空,6
飛遠,6
棲息,6
吹遠,6
小時候,6
原本,6
心碎,6
受傷,6
吻,6
摯愛,6
炙愛,6
無畏,6
餘生,6
慢,6
日子,6
暗,6
烏雲,6
were,6
name,6
大家,6
What,6
糾結,6
容易,6
孩子,6
頭髮,6
can,6
當作,6
腦海,6
內心,6
結尾,6
悲傷,6
路口,6
默默,6
hurt,6
am,6
supposed,6
one,6
not,6
Everybody,6
終究,6
許下,6
旅行,6
漫天,6
女孩,6
輸,6
夜晚,6
來不及,6
安可,6
響起,6
今晚,6
好好,6
better,6
常,6
默念,6
在一起,6
女兒,6
討厭,6
關於,6
風沙,6
代替,6
七十億分之一,6
掙脫,6
翻,6
感情,6
她們,6
老,6
運動,6
發生,6
亮,6
曲折,6
roof,6
恁,6
show,6
done,6
boy,6
充滿,6
alive,6
嗨,6
Come,6
相遇,5
窗,5
發,5
想到,5
哭泣,5
傷,5
全部,5
想起,5
平淡,5
淪為,5
為難,5
自然,5
不甘,5
恐懼,5
答案,5
負擔,5
甘,5
追逐,5
只有,5
回應,5
刻,5
謊言,5
繞,5
原點,5
練習,5
車,5
配,5
run,5
猜,5
隨便,5
食,5
心痛,5
沈默,5
夜空,5
仍,5
愈,5
街燈,5
暫停,5
執迷,5
戴,5
各,5
胸口,5
麻雀,5
愛愛,5
man,5
唯一,5
汗水,5
妝容,5
晚上,5
留給,5
腦,5
瞬間,5
欺騙,5
節奏,5
嘴巴,5
學會,5
⼀,5
學,5
畫,5
分辨,5
小,5
故意,5
夏天,5
重複,5
顏色,5
得到,5
們,5
沒想到,5
沙發,5
出門,5
醒,5
浪漫,5
依舊,5
機會,5
麻煩,5
處,5
情書,5
險,5
之中,5
口,5
開心,5
fame,5
分享,5
d,5
Cuz,5
台,5
雖然,5
升起,5
nothing,5
加油,5
之後,5
言,5
不斷,5
菸,5
守候,5
夢想,5
享受,5
退縮,5
抬頭,5
苦,5
did,5
新,5
記憶,5
姓名,5
輕易,5
鳥群,5
惦惦,5
係,5
相處,5
正在,5
手機,5
注意,5
看看,5
樣,5
敗給,5
something,5
big,5
控制,5
後來,5
冬,5
夏,5
癒合,5
混亂,5
痛快,5
一首,5
ya,5
重演,5
睡,5
腦袋,5
意外,5
打開,5
品味,5
結果,5
抒情,5
反覆,5
絕望,5
身後,5
Love,5
但願,5
困,5
星空,5
幸好,5
認,5
趕,5
諷刺,5
戀愛,5
死結,5
曖昧,5
旅程,5
疼,5
免,5
隨,5
Talking,5
moon,5
Walking,5
上癮,5
囡仔,5
台灣,5
Can,5
進,5
要求,5
轉動,5
aye,5
熄滅,5
輕鬆,5
何必,5
呼搭,5
難免,5
對於,5
甘按,5
快悶,5
念,4
抱緊,4
再一次,4
萬,4
時空,4
身體,4
表情,4
蜂鳥,4
哀悼,4
朵,4
不可以,4
長大,4
聽話,4
過往,4
自我,4
交談,4
釋懷,4
訴說,4
懦弱,4
白晝,4
力量,4
不錯,4
玩笑,4
腳,4
Wu,4
~,4
give,4
Like,4
想像,4
腳步,4
對峙,4
塵封,4
each,4
other,4
說話,4
攏,4
空氣,4
路人,4
feel,4
can't,4
問題,4
菜,4
消遣,4
點燃,4
消失,4
照,4
註定,4
難以,4
安靜,4
閉上,4
遇上,4
越來越,4
不捨,4
出口,4
傷口,4
點頭,4
天鵝,4
way,4
雙腳,4
踏,4
地球,4
認輸,4
day,4
不只,4
畫面,4
舞動,4
揮灑,4
電話,4
瘦,4
人們,4
社會,4
摩天,4
