word,count
rocking,3
lambo,3
wishin,3
carry,3
stole,3
nice,3
roll,3
song,3
handin,3
stands,3
glass,3
sight,3
shakin,3
lays,3
created,3
biggest,3
saved,3
emotionally,3
fault,3
main,3
bleed,3
ahead,3
catching,3
undercover,3
yet,3
shake,3
chic,3
supalonely,3
tough,3
missing,3
tangled,3
winning,3
wildcard,3
stops,3
fail,3
anvil,3
itching,3
lauryn,3
underachieving,3
lover,3
sprung,3
loud,3
guy,3
rush,3
feds,3
yung,3
hesitatin,3
tantrum,3
puttin,3
van,3
tattoos,3
trash,3
clearly,2
drowning,2
special,2
understand,2
barely,2
pink,2
forgive,2
mud,2
survive,2
act,2
legendary,2
friend,2
jumpin,2
bitches,2
skin,2
workin,2
manor,2
wine,2
ride,2
dust,2
talk,2
face,2
worth,2
birkin,2
raise,2
built,2
crack,2
mess,2
driving,2
sleeping,2
luckily,2
chest,2
quiet,2
playing,2
grab,2
beating,2
knowing,2
knock,2
several,2
pass,2
sportscenter,2
ball,2
certified,2
worried,2
diss,2
sharing,2
career,2
packed,2
digging,2
soft,2
swag,2
dear,2
unbothered,2
classy,2
boring,2
clean,2
says,2
attached,2
fat,2
shorty,2
lake,2
swipe,2
name,2
triple,2
choose,2
upper,2
funny,2
blessing,2
plan,2
nightmare,2
deserve,2
weak,2
wants,2
instead,2
screaming,2
killed,2
popping,2
cute,2
roses,2
evenin,2
belly,2
missed,2
friends,2
extra,2
dive,2
swallow,2
headed,2
swing,2
mic,2
mustard,2
queen,2
forget,2
dirty,2
ap,2
ayo,2
asking,2
hah,2
megan,2
pictures,2
promised,2
adored,2
sang,2
blindly,2
closed,2
bullshit,2
yes,2
thug,2
tie,2
stayin,2
spin,2
shaky,2
center,2
bend,2
jumping,2
guitar,2
keeping,2
please,2
hoo,2
shawty,2
bet,2
regret,2
pillow,2
comin,2
givin,2
married,2
exactly,2
watched,2
vibe,2
excited,2
confused,2
avoid,2
tryin,2
wash,2
thot,2
racks,2
runnin,2
freaky,2
link,2
ni,2
pa,2
addicted,2
speak,2
spent,2
couch,2
pain,2
wasted,2
blame,2
begins,2
ice,2
lying,2
bling,2
supposed,2
calling,2
pushing,2
drinkin,2
revive,2
shootin,2
follow,2
prayin,2
mil,2
curl,2
lady,2
yum,2
normal,2
godzilla,2
fifth,2
point,2
ear,2
sit,2
mentally,2
tommy,2
read,2
often,2
slammed,2
tuck,2
sexy,2
rep,2
naw,2
christmas,2
presents,2
tree,2
send,2
magic,2
tight,2
brightly,2
wall,2
smell,2
almost,2
pourin,2
leakin,2
ten,2
wanting,2
thrive,2
notch,2
millis,2
fox,2
hoppin,2
nobody,2
suicidal,2
ecstasy,2
hennessy,2
arrested,2
grow,2
seems,2
speaking,2
makin,2
deny,2
pretending,2
sexed,2
bro,2
vibes,2
cancel,2
uber,2
mine,2
dime,2
silent,2
clap,2
rrr,2
amiri,2
dancin,2
scouts,2
rappin,2
flex,2
junior,2
goodnight,2
twenty,2
hide,2
sunday,2
strong,2
ridin,2
secluded,2
diluted,2
superhuman,2
homeboy,2
famous,2
sin,1
overdrive,1
upside,1
doomed,1
stash,1
aaliyah,1
compton,1
pouch,1
forrest,1
suckin,1
rollie,1
zimmerman,1
heartbreak,1
threw,1
dude,1
girlfriend,1
bra,1
más,1
twelve,1
cakin,1
green,1
trap,1
numbered,1
texts,1
ego,1
fbg,1
plush,1
haywire,1
enrolled,1
osama,1
sprayed,1
candlelight,1
sticky,1
draco,1
extended,1
stretch,1
penthouse,1
closet,1
chandelier,1
toes,1
promethazine,1
ton,1
tremendo,1
alien,1
kitty,1
believed,1
hatred,1
powerful,1
torches,1
homestretch,1
planned,1
matter,1
numbed,1
bleeds,1
helped,1
escape,1
tend,1
bug,1
bouncing,1
impressed,1
steal,1
bush,1
hating,1
committed,1
blur,1
shows,1
hanging,1
intro,1
pooh,1
eating,1
fettuccine,1
haired,1
learnin,1
lingo,1
gym,1
sam,1
madam,1
resentment,1
homies,1
discouraged,1
stretching,1
stare,1
lesson,1
evolvin,1
cherish,1
present,1
invested,1
sitting,1
simon,1
unfastened,1
flow,1
patent,1
satin,1
tuned,1
passing,1
beg,1
lisa,1
x,1
exclusive,1
fake,1
maid,1
bagged,1
baow,1
mop,1
knot,1
attacked,1
whacked,1
smacked,1
pulling,1
lamb,1
spot,1
stalli,1
mwah,1
living,1
ricky,1
shaking,1
nobu,1
snappin,1
gram,1
malibu,1
shout,1
shade,1
refusal,1
quavo,1
cap,1
independent,1
fifty,1
commitment,1
admitted,1
fitted,1
dream,1
stepped,1
