word,count
pulled,8
sound,8
moment,8
dress,8
fast,8
playing,8
shy,8
smile,8
dime,8
taking,8
team,8
trip,8
happening,8
game,8
picture,8
player,8
met,8
unless,8
malibu,8
wake,8
hours,8
cops,8
bottom,8
hoe,8
boom,8
fucked,8
air,8
holding,8
alight,8
clap,8
dope,8
señorita,8
part,8
rather,8
fault,8
sleeve,8
human,8
bro,8
kept,8
twenty,8
broken,8
vvs,8
prove,8
mike,8
amiri,8
billie,8
jean,8
homesick,8
spotlight,8
anthem,8
tantrum,8
proud,7
blame,7
stick,7
draco,7
ballin,7
wear,7
dancing,7
pow,7
tv,7
six,7
days,7
twice,7
dumb,7
thousand,7
finger,7
dropped,7
bentley,7
having,7
birkin,7
toast,7
carry,7
feels,7
notice,7
pretty,7
dreams,7
rid,7
ball,7
hometown,7
nasty,7
foreign,7
laugh,7
chain,7
kitchen,7
mentions,7
feelings,7
pray,7
roses,7
whenever,7
leaving,7
couple,7
mil,7
found,7
burn,7
killing,7
moving,7
bottle,7
kids,7
whiskey,7
singing,7
likes,7
midnight,7
happen,7
shining,7
rubber,7
ran,7
haters,7
happened,7
rules,7
bein,7
fuego,7
nonstop,7
clear,7
glad,7
late,7
bandit,7
plane,7
doctor,7
chance,7
wave,7
line,7
rounds,7
map,7
posted,7
empty,6
feed,6
circles,6
pour,6
nose,6
slatt,6
after,6
key,6
patek,6
caring,6
brothers,6
switch,6
cop,6
wakin,6
standing,6
lighting,6
toes,6
different,6
blood,6
drinks,6
today,6
times,6
paint,6
peel,6
shatter,6
punches,6
focused,6
cheats,6
west,6
hang,6
section,6
floor,6
attitude,6
gorgeous,6
makin,6
business,6
saw,6
called,6
raw,6
lord,6
kill,6
warm,6
drunk,6
jump,6
d,6
underneath,6
jeans,6
sit,6
brain,6
turned,6
millions,6
small,6
story,6
hah,6
hearin,6
anymore,6
nike,6
jackson,6
brother,6
hello,6
letting,6
cross,6
burning,6
comin,6
bass,6
funk,6
minute,6
watchin,6
low,6
toda,6
noche,6
rompemo,6
al,6
otro,6
día,6
volvemo,6
tú,6
sabes,6
cómo,6
hacemo,6
dinero,6
que,6
bi,6
dum,6
aye,6
fourteen,6
control,6
sunday,6
bank,6
stole,6
boo,6
callin,6
helicopter,6
death,6
salt,6
bullets,6
nowhere,6
keeps,6
bluebird,6
blazin,6
lick,5
mmh,5
son,5
movin,5
pick,5
scary,5
anything,5
homies,5
cocaine,5
table,5
wifey,5
star,5
under,5
brown,5
weekend,5
usual,5
passed,5
wine,5
giving,5
truck,5
catch,5
fact,5
luck,5
heal,5
guard,5
rug,5
must,5
woman,5
saying,5
makes,5
gets,5
ten,5
boys,5
fan,5
quit,5
shine,5
pieces,5
classy,5
ratchet,5
match,5
spot,5
filter,5
cookin,5
bread,5
asset,5
tomorrow,5
corner,5
favorite,5
yours,5
week,5
surprised,5
weed,5
hook,5
bust,5
meet,5
poured,5
blueberry,5
faygo,5
false,5
shooting,5
thumbin,5
bop,5
country,5
finish,5
milli,5
deal,5
bit,5
drivin,5
forest,5
softly,5
thick,5
leather,5
piece,5
basically,5
puttin,5
waste,5
laying,5
use,5
onto,5
learned,5
point,5
rolling,5
stone,5
everythin,5
amazin,5
eye,5
lies,5
applause,5
goyard,5
wildin,5
case,5
lyin,5
started,5
land,5
praying,5
heaven,5
hotel,5
highest,5
dawg,5
showed,5
v,5
seats,5
wild,5
dying,5
men,5
text,5
tight,5
finally,5
m,5
hoppin,5
stores,5
sunset,5
yum,5
godzilla,5
walkin,5
ease,5
christian,5
heat,5
beats,5
rap,5
blind,5
music,5
trade,5
breakin,5
blue,5
bleed,5
wide,5
average,5
college,5
blinded,4
walking,4
sex,4
bells,4
seal,4
lazy,4
deals,4
wipe,4
wood,4
private,4
traffic,4
gangsta,4
smokin,4
peace,4
blowin,4
stage,4
pourin,4
grab,4
pants,4
pool,4
askin,4
workin,4
caught,4
bottoms,4
hunnid,4
dollars,4
pills,4
sent,4
neck,4
which,4
shirt,4
worth,4
crack,4
blow,4
save,4
liked,4
bleeds,4
nightfall,4
fell,4
knock,4
miles,4
calls,4
pass,4
talking,4
goddamn,4
yes,4
diss,4
wearing,4
sick,4
passion,4
beg,4
fit,4
trash,4
bougie,4
sassy,4
moody,4
acting,4
eat,4
ap,4
mop,4
knot,4
chase,4
shower,4
equity,4
everywhere,4
second,4
plan,4
honest,4
handle,4
evenin,4
loud,4
weather,4
hurting,4
kills,4
songs,4
spit,4
pictures,4
sign,4
knees,4
together,4
bloody,4
hittin,4
mall,4
salty,4
sip,4
boat,4
coldest,4
groove,4
blunt,4
swervin,4
shits,4
woke,4
each,4
biggie,4
stallion,4
shoulders,4
jacket,4
michael,4
everyday,4
million,4
anywhere,4
usually,4
lover,4
angel,4
making,4
fresh,4
ready,4
wall,4
prada,4
trips,4
fashion,4
ghost,4
pillow,4
noisy,4
roarin,4
regular,4
post,4
tear,4
ideas,4
pistol,4
vibe,4
tryin,4
eh,4
wrongs,4
discreet,4
thot,4
gun,4
motherfuckin,4
lambo,4
rockin,4
upon,4
chair,4
figured,4
joc,4
jewelry,4
commas,4
period,4
bm,4
litty,4
jet,4
wishin,4
neighbourhood,4
blessed,4
stressed,4
sunshine,4
ears,4
fixing,4
louis,4
carpet,4
against,4
tommy,4
book,4
guns,4
piped,4
nerve,4
naw,4
settle,4
seem,4
proof,4
apart,4
round,4
scarred,4
