word,count
三,6
玻璃,6
單純,6
嚮往,6
此刻,6
剛,6
騙,6
渴望,6
夢境,6
唱,6
嘿,6
漸漸,6
走進,6
星空,6
深刻,6
傳說,6
捧,6
受傷,6
守護,6
紅色,6
月光,6
轉身,6
留給,6
冷漠,6
越來越,6
說出,6
找,6
出口,6
漸,6
冷,6
多久,6
不可能,6
電影,6
突然,6
成,6
最好,6
誠實,6
準備,6
歌寫,6
爾爾彼,6
唱閣,6
順順,6
危險,6
A,6
淚,6
糾結,6
提起,6
告別,6
開朗,6
哪裡,6
還好,6
聽見,6
傷心,6
So,6
適合,6
刻意,6
解脫,6
曖昧,6
反覆,6
拿,6
Baby,6
享受,6
兄弟,6
重寫,6
閃亮,6
無所謂,6
捨得,6
消失,6
度過,6
無助,6
收集,6
成長,6
未知,6
感謝,6
病,6
近,6
取代,6
只有,6
很多,6
發送,6
擁擠,6
原地,6
now,6
床,6
make,6
失敗,6
感受,6
簡單,6
阻擋,6
肯定,6
隨,6
不如,6
在意,6
bro,6
相同,6
親,6
但是,6
早,6
溫度,6
勉強,6
loveI,6
刪除,6
重複,6
心痛,6
兜著,6
轉,6
兜著轉,6
記,6
彼工,6
好歹,6
吐,6
委屈,6
瘋狂,6
沿,6
上班,6
下班,6
潮,6
也罷,6
必要,6
裹,6
Fighting,6
youHonestly,6
we,6
of,6
故鄉,5
東,5
窗,5
外,5
心情,5
常,5
掙脫,5
防備,5
隨便,5
難道,5
至少,5
底線,5
三月,5
六月,5
九月,5
年少,5
或者,5
清醒,5
夜深人靜,5
照顧,5
流淚,5
顆,5
作,5
白月光,5
燃燒,5
高,5
ooh,5
練習,5
慢,5
重心,5
走過,5
親口,5
牽起,5
證據,5
蠢,5
契合,5
自作自受,5
輕浮,5
不可,5
房間,5
擔心,5
懷念,5
第一,5
留在,5
件,5
情懷,5
遷就,5
從實,5
招來,5
齣,5
痕跡,5
嘴,5
star,5
怎會,5
經歷,5
講,5
關係,5
碎,5
任性,5
Sorry,5
meJust,5
快要,5
night,5
Eh,5
電話,5
海嘯,5
破,5
什麽,5
當下,5
代表,5
些,5
傷痛,5
流星,5
並肩,5
感動,5
拍拍,5
今晚,5
平行,5
Cause,5
nothing,5
不論,5
don’t,5
身後,5
懦弱,5
依然,5
小孩,5
恨,5
直到,5
黑暗,5
色彩,5
起,5
better,5
謝謝,5
叫,5
手機,5
dayLALALALALALALALALAHave,5
悄悄,5
秒,5
出門,5
I'm,5
that,5
有沒有,5
尋,5
徬徨,5
確定,5
困難,5
燦爛,5
聲,5
痛苦,5
動,5
精彩,5
對待,5
香,5
抵抗,5
尋找,5
天堂,5
燙,5
之前,5
目的地,5
睡,5
最初,5
過程,5
歐~,5
修好,5
段,5
訊息,5
忍不住,5
詩,5
要求,5
尋覓,5
無可,5
老,5
季節,5
跳抱,5
關掉,5
點頭,5
Don’t,5
咧,4
分,4
哦,4
較,4
雖然,4
言喻,4
滴,4
深陷,4
根本,4
運氣,4
求,4
一些,4
餘生,4
大雪,4
漫天,4
飄零,4
嫁衣,4
明明,4
這些,4
何時,4
星球,4
天使,4
翅膀,4
鏡頭,4
教,4
闖禍,4
退縮,4
yeah,4
剛好,4
呵護,4
把握,4
平衡,4
有時候,4
奔跑,4
戒指,4
穿過,4
走來,4
星辰大海,4
盛開,4
照,4
約定,4
樹,4
停止,4
人海,4
輪迴,4
命運,4
迷霧,4
晴天,4
雨天,4
見面,4
熱烈,4
面,4
炙熱,4
不必,4
糾纏,4
夜裡,4
等等,4
匆忙,4
急,4
喚喚,4
騎,4
背後,4
耍,4
攏,4
鬥陣,4
行寫,4
挺,4
寫,4
定義,4
rock,4
承受,4
摧毀,4
之後,4
倔強,4
完成,4
真話,4
開心,4
氣,4
追尋,4
靠,4
保持,4
沒用,4
never,4
good,4
頂峰,4
接,4
pull,4
點亮,4
祝,4
可惜,4
誓言,4
動作,4
偽裝,4
路口,4
軌跡,4
隱藏,4
散落,4
溫暖,4
弄得,4
東倒西歪,4
夢遊,4
跟節,4
Get,4
low,4
lowMi,4
Su,4
肉,4
征服,4
追,4
Woo,4
走走,4
real,4
弄,4
小baby,4
馬,4
魚,4
空,4
藍色,4
夜空,4
夜,4
goAnd,4
knowThat,4
am,4
sorry,4
left,4
Run,4
awayWanna,4
times,4
深深,4
離,4
淹沒,4
下雨,4
混亂,4
重來,4
當初,4
斷,4
這樣子,4
掛念,4
相見,4
無能為力,4
偷偷地,4
倦鳥,4
失,4
歸期,4
但願,4
現實,4
落葉,4
無奈,4
份,4
之,4
點燃,4
餘,4
chasing,4
dreams,4
what,4
they,4
stuck,4
betweenTill,4
ride,4
comesI,4
holding,4
things,4
don’,4
understandTryna,4
play,4
閉上,4
is,4
way,4
拖,4
大聲,4
顏色,4
日出,4
演,4
衣服,4
Monday,4
day,4
Wednesday,4
Thursday,4
壞,4
字,4
輕輕,4
換來,4
漂流,4
流言,4
足跡,4
地球,4
離去,4
