word,count
的,1663
我,1412
你,1028
不,556
是,446
在,407
了,334
著,334
一,329
愛,256
I,210
有,208
都,208
個,207
想,196
就,189
也,168
這,155
妳,153
說,147
人,143
me,142
讓,141
you,141
那,139
會,138
能,133
alright,132
我們,125
(,123
),123
自己,117
只,114
再,112
要,112
誰,109
還,106
心,103
看,101
卻,101
沒,101
過,100
裡,99
be,99
差不多,97
得,95
沒有,94
為,91
被,89
很,85
別,83
每,79
天,79
她,79
像,78
多,76
次,76
好,74
當,73
對,72
他,71
把,67
know,64
什麼,63
又,62
如果,61
世界,61
才,57
到,57
最,55
等,53
i,53
for,52
種,51
不再,50
知道,50
變,50
中,50
和,48
走,47
不能,46
時間,44
the,44
夢,44
做,43
曾,43
oh,43
去,43
希望,42
所有,42
想要,41
太,41
現在,40
給,40
聽,39
things,38
曾經,37
感覺,37
還是,36
上,36
越,36
wind,36
笑,35
而,34
太多,34
about,34
愛上,33
哭,33
來,33
一樣,32
快樂,32
該,32
will,32
永遠,31
見,31
那些,31
也許,31
生活,31
下,31
未來,30
多少,30
it,30
怎麼,29
但,29
開始,29
與,29
手,29
一直,29
總,29
想念,28
wanna,28
to,28
時候,28
回憶,27
真的,27
地,27
跟,27
久,27
懂,27
不要,27
年,26
全,26
話,26
變成,26
孤單,26
兩,26
敢,26
陪,26
能夠,26
傷害,26
LOCAL,26
無法,25
記得,25
習慣,25
這樣,25
一切,25
離開,25
哪裡,25
承諾,25
步,25
ll,25
句,24
過去,24
怕,24
痛,24
它,24
a,24
總是,24
寂寞,24
Dance,24
Be,24
身邊,23
以為,23
為什麼,23
so,23
如此,23
一點,22
更,22
勇敢,22
其實,22
夠,22
love,22
眼,22
不用,22
活,22
溫柔,22
i’ll,22
愛情,21
終於,21
願,21
不會,21
前,21
嗎,21
已,21
走過,21
呀,21
從前,21
因為,21
baby,21
t,21
需要,21
太陽,21
害怕,21
快,21
on,21
back,21
SENSE,21
可,20
忘,20
比,20
my,20
",",20
在乎,20
got,20
回來,20
阮,20
想見,19
擁抱,19
換,19
裡面,19
吧,19
可以,19
don't,19
change,19
出現,19
已經,19
朋友,19
等待,18
向,18
臉,18
擁有,18
算,18
面對,18
do,18
彼此,18
驕傲,18
So,18
幸福,18
with,18
take,18
I'm,18
後,18
Everything,18
懷念,17
家,17
成為,17
路,17
風,17
放棄,17
經歷,17
屬於,17
是否,17
'm,17
no,17
叫,17
首,17
相信,17
遇見,17
以後,17
別人,17
此刻,17
’,17
all,17
點,17
color,17
理由,17
用,16
幾,16
城市,16
努力,16
’ll,16
最後,16
喜歡,16
is,16
笑容,16
just,16
let,16
會不會,15
片,15
歌,15
底,15
哪怕,15
選擇,15
住,15
牽,15
自由,15
遠,15
特別,15
就算,15
無,15
付出,15
出來,15
靠近,15
存在,15
Move,15
Make,15
AWAY,15
i’,15
或,14
錯過,14
少,14
帶,14
寫,14
只要,14
面前,14
將,14
in,14
微笑,14
可能,14
that,14
呢,14
些,14
然後,14
懷疑,14
your,14
more,14
一起,14
伯父,14
件,14
?,13
人生,13
失去,13
煩惱,13
時,13
早已,13
黑暗,13
事,13
't,13
留下,13
明白,13
累,13
美麗,13
聲音,13
幫,13
m,13
what,13
tell,13
傷心,13
想好,13
FLY,13
成,12
飛,12
眼前,12
分,12
慢慢,12
決定,12
光,12
up,12
miya,12
不同,12
於是,12
藏,12
don,12
壞,12
捨不得,12
孤獨,12
突然,12
透明,12
直到,12
don’t,12
看到,12
願望,12
珍惜,12
Colorful,12
出,12
發現,12
扛,12
不管,12
擔心,12
down,12
再見,12
同,12
worry,12
worried,12
',12
回到,11
爭吵,11
先,11
大,11
站,11
輩子,11
錯,11
留,11
假裝,11
期待,11
執著,11
連,11
天空,11
深,11
後悔,11
那麼,11
But,11
.,11
有點,11
隻,11
拜託,11
美,11
遠方,11
everything,11
want,11
等到,11
Take,11
一生,11
we,11
and,11
如何,11
miss,11
稱讚,11
放,11
請,11
or,11
以,11
可不可以,11
than,11
風景,10
男人,10
忘記,10
反正,10
回頭,10
少年,10
名字,10
可是,10
繼續,10
面,10
難,10
眼睛,10
身,10
成熟,10
故事,10
愛愛,10
命運,10
Oh,10
不停,10
以前,10
落下,10
某,10
從,10
像是,10
完,10
替,10
s,10
pay,10
兄弟,10
看見,10
美好,10
why,10
ay,10
失敗,10
現實,10
Cause,10
feelin,10
'better,10
Rain,10
sunny,10
weather,10
相依,9
宇宙,9
另,9
不過,9
第一,9
遺憾,9
眼淚,9
never,9
回,9
問,9
鏡子,9
away,9
say,9
fine,9
遺忘,9
依然,9
只是,9
哪,9
like,9
眼神,9
今天,9
為何,9
他們,9
森林,9
默念,9
從不,9
嫉妒,9
闖進,9
多麼,9
勉強,9
堅強,9
熟悉,9
流淚,9
用力,9
And,9
三,9
邊,9
好像,9
I’m,9
心情,9
great,9
wish,9
到底,9
整,9
受,9
難過,9
騙,9
身旁,9
講,9
啊,9
蛋,9
壞人,9
're,9
人海,8
用盡,8
真心,8
結局,8
這些,8
一些,8
應該,8
早,8
黎明,8
找到,8
只不過,8
張,8
生命,8
勇氣,8
呼吸,8
思念,8
We,8
音樂,8
need,8
保護,8
之,8
雙手,8
折磨,8
醒來,8
怪,8
夜裡,8
難道,8
至少,8
所,8
條,8
they,8
again,8
只有,8
感受,8
吃,8
必須,8
海,8
停止,8
煩,8
瞬間,8
分鐘,8
變得,8
"Color,color",8
無所謂,8
懂得,8
一定,8
杯,8
從來,8
No,8
感到,8
this,8
how,8
矛盾,8
溫暖,8
動,8
盤旋,8
往,8
bad,8
開,8
找,8
停,8
放空,8
掙扎,8
工作,8
陌生,8
門,8
汪汪汪,8
girl,8
背叛,8
困,8
電影,8
這裡,8
follow,8
不必,8
解釋,8
Am,8
能不能,7
朝夕,7
可惜,7
樣子,7
從此,7
如今,7
堅持,7
珍貴,7
恨,7
偶爾,7
重新,7
一半,7
晚安,7
無關,7
沉默,7
接受,7
逆,7
淹沒,7
改變,7
很多,7
好幾,7
告訴,7
刻,7
握,7
確定,7
was,7
獨自,7
成全,7
放手,7
情歌,7
問候,7
每當,7
go,7
放下,7
之間,7
獨特,7
姑娘,7
野獸,7
字,7
靈魂,7
複雜,7
渴望,7
值得,7
平凡,7
原來,7
浪費,7
擁擠,7
明天,7
mind,7
see,7
清楚,7
wait,7
永,7
